,OBJECTID,quadrat,tag,StemTag,sp,lx,ly,hom,dbh_2023,status_2023,codes_2023,notes_2023,living_status_2023,fad_2023,wound_2023,rot_2023,canker_2023,dbh_if_dead,comment_mortality_2023,x,y,status_2024,living_status_2024,crown_position_2024,crown_intact,crown_living,fad_choices,fad_2024,liana_load,wound_2024,rot_2024,canker_2024,lean_angle,lean_direction,dead_with_resprout,crown_check,dbh_dead_2024,dead_dbh_check,comment_mortality_2024,mort_census_status,personnel_list,GlobalID,EditDate,Editor,date_measured,dbh_verified
2,4,109,10550,2,caca,,,1.3,115,LI,,,AU,"W,R",3,3,,,,,,LI,AU,2,95,95,R,"W, R",,3,3,,,,,,,,,finished,Rachel Hoffman,5745ff3f-12a1-4c36-bf7b-c631f5e75645,3/19/2024 4:37:01 PM,shuej21,10/11/2024,
1,3,110,10494,2,havi,,,1.3,105,LI,,,AU,"W,HS,K",2,,1,,,,,LI,AU,1,95,95,R,"W, R",,2,2,,,,,,,,,finished,Rachel Hoffman,ebc6b6dd-9b02-43f2-ae95-3a1afa76fa6b,3/19/2024 4:37:01 PM,shuej21,10/11/2024,
3,9,123,12211,2,caca,,,1.1,188,LI,,,,,,,,,,,,LI,A,3,100,95,,,,,,,23,60,,,,,,finished,Rachel Hoffman,b6106c59-8620-4854-85e9-599fd45a90fe,3/19/2024 4:37:01 PM,shuej21,10/9/2024,
4,10,124,12233,5,havi,,,1.3,102,LI,DV,Error measures for the 20218 census,,,,,,,,,,LI,AU,3,80,10,R,"W, R",,2,2,,25,330,,,,,"Stems incorrectly tagged n the field - stem 5 is labeled as stem 2. Part of crown still attached to tree, but dead and leaning on the ground",finished,Rachel Hoffman,69225341-55b9-4b73-8f62-1f696395c46c,3/19/2024 4:37:01 PM,shuej21,10/9/2024,
5,11,124,12233,6,havi,,,1.3,112,LI,,,,,,,,,,,,LI,A,3,80,55,,,,,,,54,300,,,,,"Stems incorrectly tagged n the field - stem 6 is labeled as stem 1. Part of crown still attached to tree, but dead and leaning on the ground",finished,Rachel Hoffman,08ffa0de-3764-48a3-a544-0b288cbd5454,3/19/2024 4:37:01 PM,shuej21,10/9/2024,
16,169,222,22198,2,tiam,,,1.3,159,DS,RT,,,,,,,,,,,DS,,2,10,,,,,,,,,,0,,,,,finished,Rachel Hoffman,8e5d98dd-c8b4-42dd-b612-0682bb9b3bf9,3/19/2024 4:37:01 PM,shuej21,10/9/2024,
6,34,317,32031,2,cagl,,,1.3,135,LI,,,A,,,,,,,,,LI,A,3,100,100,,,,,,,,,,,,,,finished,Rachel Hoffman,7c2c18d9-b1ff-4546-8e33-2759eaabb443,3/19/2024 4:37:01 PM,shuej21,10/9/2024,
7,51,415,40969,2,tiam,,,1.3,323,LI,"P,I,RT,X",Stem is cracked and lying down but not completely detached from roots,,,,,,,,,,DC,,1,20,,B,B,,,,,,,0,,,,Tree broken right above base,finished,Rachel Hoffman,e1dfe2bc-d446-4810-a7b4-96e7437f4ef7,3/19/2024 4:37:01 PM,shuej21,10/11/2024,
8,56,501,50019,2,ploc,,,1.3,113,LI,,,A,,,,,,,,,LI,A,3,100,100,,,,,,,,,,,,,,finished,Rachel Hoffman,6bad64f3-8580-4aa4-bcf9-80dc8982596d,3/19/2024 4:37:01 PM,shuej21,10/11/2024,
9,57,503,50169,2,caca,,,1.4,101,LI,,,,,,,,,,,,LI,A,1,100,100,,,,,,,,,,,,,,finished,Rachel Hoffman,39a607ee-d6a8-4b26-9ba9-9ea6d86516ec,3/19/2024 4:37:01 PM,shuej21,10/11/2024,
10,62,509,50474,2,litu,,,1.3,350,LI,,Appears to be only stem,A,,,,,,,,,LI,A,3,100,90,,,,,,,,,,,,,,finished,Rachel Hoffman,40cecb74-978f-48de-ba8c-95b0b1772ab1,3/19/2024 4:37:01 PM,shuej21,10/8/2024,
11,64,511,50515,2,caca,,,1.3,102,LI,,,,,,,,,,,,LI,A,3,100,90,,,,,,,,,,,,,,finished,Rachel Hoffman,e83255a1-05ef-4d17-87b4-e5bce852029b,3/19/2024 4:37:01 PM,shuej21,10/8/2024,
12,71,603,60040,2,cato,,,1.3,346,LI,,,AU,"W,R",2,2,,,,,,LI,AU,3,100,100,R,"W, R",,2,2,,,,,,,,,finished,Rachel Hoffman,6980a744-3bfe-4714-911a-79ae039dc427,3/19/2024 4:37:01 PM,shuej21,10/11/2024,
13,123,1406,140674,2,fagr,,,1.3,107,LI,,,,,,,,,,,,LI,A,3,100,95,,,,,,,,,,,,,,finished,Rachel Hoffman,b6a6f7b4-8776-47af-9c46-ac3094685946,3/19/2024 4:37:01 PM,shuej21,10/11/2024,
14,124,1406,140674,3,fagr,,,,100,LI,SV,,,,,,,,,,,LI,A,3,100,95,,,,,,,,,,,,,,finished,Rachel Hoffman,ceb12064-abc4-40eb-a172-a2a2a252c036,3/19/2024 4:37:01 PM,shuej21,10/11/2024,
17,182,1823,182574,2,fram,,,1.3,326,DS,,,,"B,I,F",,,,,,,,DS,,2,0,,,,,,,,,,0,,,,,finished,Rachel Hoffman,b907c447-cf4e-4261-9b74-6f47160b6263,3/19/2024 4:37:01 PM,shuej21,10/9/2024,
15,153,1828,182671,2,quru,,,1.3,661,LI,,,A,,,,,,,,,LI,AU,4,100,90,K,K,,,,1,,,,,,,,finished,Rachel Hoffman,54c0aee3-5c61-4be2-8ca7-d4cc094cdf62,3/19/2024 4:37:01 PM,shuej21,10/1/2024,